ch_0,ch_1,ch_2
-0.009415223757969216,0.01015327052300563,-0.027381594918551855
-0.01011454969557235,-0.006615537586185383,-0.03216664481442422
-0.01044875716615934,-0.01956557207449805,-0.03635455868788995
-0.010711563845688943,-0.028551608920679428,-0.03316687070764601
-0.012555984540085774,-0.03792175994021818,-0.019872089978889562
-0.016112946468638256,-0.05515133307198994,-0.006126392236183165
-0.020813273295061663,-0.07628119055880234,-0.002170299239878659
-0.023580803826916963,-0.092093730927445,-0.003493907570373267
-0.023157661416917108,-0.09787553426576778,-0.004422216989041772
-0.021744668629253283,-0.07992573227966204,-0.003922637006326113
-0.021660267520928755,-0.04088709465577267,-0.0025110941805905895
-0.024319464500877075,-0.0054974334489088506,-0.007582572834508028
-0.029080592867103405,0.008114801858027931,-0.014421097148442641
-0.03254934199503623,0.007008639840933029,-0.01359456200589193
-0.03339952672831714,0.005078183676232584,-0.010222716809948906
-0.03156564343953505,0.005581295226875227,-0.009716170097817667
-0.028846401619375683,0.007243007075885544,-0.009339325515611563
-0.02699899960134644,0.007873298272897955,-0.005806548870168626
-0.02722162207646761,0.003050500481549534,-0.0027228240924159763
-0.027465135644888505,-0.004957214059686521,-0.0040850623008736875
-0.026870744477491826,-0.009669878636486828,-0.008621706001576968
-0.02695254806894809,-0.009447205229662359,-0.014412096788873896
-0.02792396662698593,-0.008343132321897428,-0.018859698684536852
-0.028508264222182333,-0.01015014095173683,-0.020280715034459718
-0.027811151085188612,-0.010797311006172094,-0.01924266507558059
-0.026162239009863697,-0.006960724022064824,-0.017746315279509872
-0.026020812583738007,-0.0014543526276611374,-0.017713455235934816
-0.026359186449553818,0.0016344231426046463,-0.021114183255122043
-0.027528058126335964,0.0012826201327698072,-0.02811764170473907
-0.0277927283605095,0.00368701921615866,-0.036259592889109626
-0.028019318051519804,0.0073387504926358815,-0.04187290687696077
-0.027435504307504743,0.006075756573409308,-0.047697420086478814
-0.024795102945063263,0.003873662990372395,-0.05479199535329826
