Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
90.000000,18124.426082,16303.004778,-13231.584517,-25579.269299,-19504.959226,-22568.109342,-1811.117150,-25621.961131,20383.047507,35363.208993,-24622.346416,-16445.743018,1649.625796,18950.703019,-20666.713496,-1493.364751,0.004000,-0.012000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771496462.318058,101.000000
92.000000,18202.657187,16376.698479,-13161.020060,-25512.191714,-19429.119757,-22499.780059,-1742.497294,-25553.743607,20412.328292,35390.612232,-24590.584587,-16416.976323,1675.665578,18992.612540,-20636.784510,-1478.925524,0.004000,-0.012000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771496462.318168,0.000000
94.000000,18150.622326,16321.579077,-13219.492223,-25570.932099,-19489.335357,-22567.036458,-1802.578783,-25609.958245,20431.371979,35398.211825,-24578.067610,-16406.381596,1689.925991,18964.538749,-20624.423996,-1473.985788,0.008000,-0.010000,1.000000,192.000000,0.000000,32.000000,127.500000,88.000000,15.500000,32.000000,0.000000,0.000000,0.000000,1771496462.318225,0.000000
96.000000,18190.833114,16358.995898,-13187.708043,-25543.260639,-19449.415141,-22551.054961,-1771.800431,-25577.659974,20398.894894,35350.893182,-24621.787622,-16451.889748,1651.212770,18924.864402,-20672.860226,-1509.726227,0.008000,-0.010000,1.000000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771496462.318266,0.000000
98.000000,18194.007062,16361.611052,-13178.722641,-25540.354912,-19443.894260,-22550.004429,-1764.022024,-25574.396619,20456.070656,35404.939700,-24553.972430,-16388.880180,1705.818082,18995.786488,-20602.608693,-1478.210268,0.008000,-0.010000,1.000000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771496462.318308,0.000000
100.000000,18150.152940,16314.828851,-13228.008238,-25589.640509,-19497.069060,-22606.129659,-1814.492263,-25622.095242,20407.880295,35349.820298,-24613.718642,-16448.179358,1650.117534,18931.882850,-20660.365601,-1515.045943,0.008000,-0.010000,1.000000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771496462.318358,0.000000
102.000000,18216.358807,16383.135782,-13156.505007,-25523.792270,-19421.453109,-22531.184260,-1744.464248,-25557.699866,20434.501223,35372.686133,-24584.415505,-16423.346570,1687.243782,18971.311327,-20631.397740,-1502.417207,0.008000,-0.010000,1.000000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771496462.318399,0.000000
104.000000,18160.255928,16325.356522,-13216.787662,-25578.062305,-19483.389793,-22583.889673,-1803.517557,-25614.629759,20442.391389,35376.485929,-24575.564215,-16415.635218,1695.469224,18946.098560,-20619.774833,-1488.179146,0.006000,-0.006000,1.004000,192.000000,0.000000,24.000000,127.500000,104.000000,15.500000,48.000000,0.000000,0.000000,0.000000,1771496462.318438,0.000000
106.000000,18186.340414,16351.351601,-13193.251275,-25547.306305,-19457.372362,-22560.330935,-1775.734338,-25587.695907,20396.503257,35324.920455,-24627.174393,-16463.624413,1634.091334,18911.095728,-20672.077915,-1516.364696,0.006000,-0.006000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771496462.318480,0.000000
108.000000,18204.221809,16366.953119,-13186.054013,-25536.264543,-19457.551176,-22542.248373,-1766.771289,-25577.369401,20451.756770,35379.481063,-24561.147339,-16398.871410,1698.643172,18968.763229,-20610.342397,-1472.398814,0.006000,-0.006000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771496462.318518,0.000000
110.000000,18164.234539,16323.277810,-13233.886747,-25584.857236,-19500.757098,-22589.544665,-1815.676906,-25622.318759,20406.181563,35333.771745,-24615.663244,-16451.219195,1642.070906,18932.463996,-20668.144008,-1499.511480,0.006000,-0.006000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771496462.318530,0.000000
112.000000,18239.671676,16397.642064,-13162.070592,-25517.399671,-19428.963295,-22518.376710,-1742.899626,-25551.039046,20435.350589,35362.381978,-24582.694421,-16421.513727,1673.810384,18943.997496,-20635.532813,-1484.669922,0.006000,-0.006000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1771496462.318540,0.000000
114.000000,18185.334585,16343.215566,-13220.028665,-25578.688154,-19486.206113,-22578.927586,-1802.131748,-25606.158448,20441.072636,35372.574374,-24571.339735,-16412.863602,1688.339017,18952.312345,-20628.894344,-1482.993541,0.005000,-0.008000,1.005000,192.000000,0.000000,16.000000,127.500000,88.000000,15.500000,56.000000,0.000000,0.000000,0.000000,1771496462.318551,0.000000
