Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
90.000000,-826.031068,1057.617492,-679.873011,741.653233,-25989.423810,-23811.425127,-4711.144234,-4817.583241,20.518901,-611.633135,-19719.983008,1825.131693,-14402.413595,-10712.051178,-9336.323659,-8523.100140,0.006000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1772181006.905616,101.000000
92.000000,-893.980371,986.650704,-750.571579,663.243313,-26055.115587,-23874.211177,-4783.653293,-4885.510193,21.703544,-611.722542,-19720.362988,1825.824598,-14395.775127,-10726.691571,-9328.142921,-8520.105007,0.006000,-0.008000,1.010000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1772181006.905696,0.000000
94.000000,-848.583978,1034.639899,-696.547412,707.879747,-26001.873732,-23827.943066,-4738.905101,-4842.460733,-21.502378,-655.844886,-19760.752590,1780.607019,-14435.829453,-10763.795467,-9369.001909,-8576.230237,0.004000,-0.010000,1.004000,192.000000,0.000000,16.000000,127.500000,88.000000,15.500000,48.000000,0.000000,0.000000,0.000000,1772181006.905751,0.000000
96.000000,-858.351691,1020.133617,-700.615430,694.178128,-26008.534552,-23845.533889,-4743.777781,-4849.680346,55.320568,-589.057873,-19685.449563,1847.081107,-14353.865606,-10698.550725,-9289.943789,-8513.064207,0.004000,-0.010000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1772181006.905807,0.000000
98.000000,-909.201909,969.126936,-750.862151,645.496028,-26064.235099,-23898.284006,-4791.655218,-4897.177803,-23.782256,-669.501802,-19763.300689,1768.045338,-14431.783787,-10784.850810,-9364.240988,-8592.926990,0.004000,-0.010000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1772181006.905864,0.000000
100.000000,-833.541254,1052.364832,-674.486241,736.735849,-25997.515142,-23823.875049,-4711.747731,-4816.867985,20.116570,-622.227862,-19717.904296,1817.710914,-14384.532199,-10739.409714,-9324.097255,-8539.349859,0.004000,-0.010000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1772181006.905920,0.000000
102.000000,-895.723807,988.349436,-746.771782,671.289941,-26065.352686,-23889.946805,-4781.373415,-4879.944608,20.541253,-614.337696,-19714.283313,1829.132656,-14395.082223,-10725.372818,-9330.668668,-8529.112760,0.004000,-0.010000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1772181006.905975,0.000000
104.000000,-852.495534,1034.438733,-698.380256,720.687296,-26018.257561,-23842.672866,-4736.222891,-4836.246948,-25.726858,-659.979959,-19762.853654,1785.077367,-14435.896508,-10767.595263,-9376.467392,-8574.352691,0.014000,-0.008000,1.006000,192.000000,0.000000,56.000000,127.500000,96.000000,15.500000,56.000000,0.000000,0.000000,0.000000,1772181006.906030,0.000000
106.000000,-856.049461,1030.303661,-702.247107,718.586232,-26023.398462,-23842.225831,-4737.832217,-4838.325660,51.409012,-581.860612,-19688.020013,1860.335691,-14362.247510,-10696.427309,-9297.789252,-8494.154631,0.014000,-0.008000,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1772181006.906068,0.000000
108.000000,-905.469168,977.598247,-753.477306,664.986749,-26067.789026,-23888.069259,-4787.698959,-4891.299294,-26.106838,-657.856543,-19762.697192,1783.602152,-14445.016020,-10762.744935,-9365.783258,-8562.998004,0.014000,-0.008000,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1772181006.906106,0.000000
