ch4,ch5,ch3
-0.004809,-0.016527,-0.003592
-0.002821,-0.019362,-0.004981
-0.00179,-0.021206,-0.003529
-0.001129,-0.021681,-0.003738
0.000178,-0.021953,-0.004571
0.001786,-0.022209,-0.004252
0.003225,-0.021583,-0.004296
0.002961,-0.020174,-0.004277
0.001421,-0.018934,-0.004363
-6.6e-05,-0.017997,-0.00447
0.000437,-0.017155,-0.005002
0.002142,-0.01708,-0.005205
0.00138,-0.016981,-0.002638
-0.000688,-0.014783,0.000766
-0.001175,-0.014598,0.002349
-0.00058,-0.014726,0.001751
-0.001628,-0.014047,0.000505
-0.002056,-0.013359,0.000465
-0.000462,-0.011125,-9e-06
0.000774,-0.008431,-0.001954
-0.000513,-0.007493,-0.005195
-0.003144,-0.007972,-0.00723
-0.003798,-0.006104,-0.007353
-0.002858,-0.003642,-0.007442
-0.001771,-0.003638,-0.007304
-0.001648,-0.004273,-0.007354
-0.001529,-0.004807,-0.006939
-0.001511,-0.006804,-0.006559
-0.002885,-0.00855,-0.006558
-0.004048,-0.008527,-0.006732
-0.005655,-0.010116,-0.005359
-0.00639,-0.012893,-0.004616
-0.007432,-0.013481,-0.00487
-0.009246,-0.012861,-0.003367
-0.009589,-0.013154,-0.000375
-0.007138,-0.013972,0.000322
-0.00391,-0.014683,0.000584
-0.002152,-0.014709,0.00155
-0.00106,-0.015377,0.001583
-0.000559,-0.0169,0.001798
-0.001117,-0.017735,0.002773
-0.002854,-0.017632,0.003193
-0.004041,-0.018539,0.002956
-0.0017,-0.019695,0.002089
0.001847,-0.02004,0.001507
0.004533,-0.020317,0.001613
0.004822,-0.020054,0.001285
0.002962,-0.018904,-0.000476
0.001507,-0.017172,-0.001169
0.000573,-0.016655,0.000354
-0.000494,-0.016889,0.001395
0.000143,-0.01498,0.000152
0.002149,-0.012892,-0.001024
0.002809,-0.013787,-0.000278
0.001895,-0.015858,0.000152
-0.000331,-0.015451,-0.000498
0.000205,-0.010468,-0.000491
0.003703,-0.006705,-0.0003
0.005917,-0.006215,-0.000563
0.005145,-0.007779,-0.001726
0.00362,-0.009434,-0.001718
0.001387,-0.010245,-0.001181
-0.000942,-0.00949,-0.000847
-0.002378,-0.008481,-0.001253
-0.002799,-0.007748,-0.00246
-0.003898,-0.006778,-0.004408
-0.005619,-0.006538,-0.004593
-0.005881,-0.006399,-0.002973
-0.004865,-0.008041,-0.000853
-0.004251,-0.010369,-0.000281
-0.004959,-0.011806,-0.002025
-0.005322,-0.011075,-0.003236
-0.004034,-0.010642,-0.00453
-0.002488,-0.011815,-0.006132
-0.002287,-0.012892,-0.006295
-0.003725,-0.012412,-0.004839
-0.005617,-0.012033,-0.002915
-0.00683,-0.013158,0.000111
-0.006426,-0.013955,0.002534
-0.007303,-0.014794,0.00153
-0.009485,-0.014927,-0.001214
-0.009742,-0.01495,-0.001508
-0.009258,-0.017713,-0.000517
-0.010147,-0.020656,-0.001017
-0.010244,-0.020201,-0.004415
-0.007417,-0.017533,-0.00705
-0.005311,-0.014539,-0.006944
-0.00501,-0.013175,-0.004888
-0.00568,-0.014131,-0.003615
-0.005567,-0.016142,-0.003894
-0.002818,-0.01736,-0.005462
-0.00069,-0.018109,-0.00668
-0.001111,-0.018282,-0.006234
-0.003771,-0.016885,-0.005327
-0.005435,-0.013348,-0.004585
-0.004874,-0.009588,-0.003191
-0.003641,-0.009417,-0.001392
-0.002827,-0.009748,0.000266
-0.001047,-0.008602,0.000616
0.002258,-0.00834,-0.000561
0.004868,-0.008048,-0.00114
0.004347,-0.007087,0.000685
0.002394,-0.007557,0.002701
0.000183,-0.008342,0.002794
-0.000837,-0.008374,0.001625
-0.001504,-0.008535,6e-05
-0.000861,-0.008815,-0.000202
0.002154,-0.008024,0.000875
0.002847,-0.006901,0.001813
0.00047,-0.007464,0.001935
-0.000652,-0.009115,-0.00044
-0.002183,-0.009756,-0.002808
-0.003908,-0.010018,-0.003096
-0.004253,-0.011597,-0.002353
-0.003081,-0.012971,-0.003369
-0.002343,-0.013355,-0.005512
-0.003261,-0.014689,-0.004816
-0.003861,-0.017106,-0.003377
-0.004096,-0.017352,-0.003894
-0.004457,-0.015969,-0.003288
-0.005671,-0.017297,-0.003301
-0.005879,-0.01889,-0.004137
-0.003029,-0.018609,-0.004026
0.000323,-0.018009,-0.003734
