ch_0,ch_1,ch_2
-0.02275149199704174,0.005366434379538987,-0.036221830669092014
-0.02145408325304743,0.0038466823752969503,-0.03658592686406337
-0.02139128810085822,0.003180808789693401,-0.03590290725696832
-0.023199398128781468,0.0030859914659231436,-0.033849970350274816
-0.025257124434574507,0.002888968538172776,-0.030716488254256546
-0.026485087801120244,0.0013633076605401584,-0.027688798581948504
-0.02655504249560181,-0.00182892142674973,-0.02659936944837682
-0.02537732507335022,-0.004915858880849555,-0.025711062335176393
-0.024997694708872586,-0.005154176506039221,-0.025341496439068578
-0.024253533410956152,-0.003629929551607347,-0.02530559322622139
-0.023617232727701776,-0.0050922476475534495,-0.026628986233845353
-0.02310288073203992,-0.008062369488470722,-0.028337732146610506
-0.022449152311310172,-0.009797171514946967,-0.029930502932984382
-0.022515478121931665,-0.010162922990275547,-0.029359936888795346
-0.022920314222574234,-0.009837376637733541,-0.025369094146299176
-0.022983047529123724,-0.010581182323221583,-0.0204304997168947
-0.02300758205819875,-0.012369559954095166,-0.017893045878736302
-0.024277123884530738,-0.011858758625749033,-0.017809446944738738
-0.025116891265497543,-0.009988000783778261,-0.017960473996936344
-0.02388147186138667,-0.008989242815005127,-0.01767447065503802
-0.022748006813344546,-0.007664391887374222,-0.015921235899440944
-0.021643290892825462,-0.0062046647144597955,-0.015604611689923331
-0.021736057533416897,-0.005696099378837971,-0.016766884073149413
-0.022919381081010215,-0.007834907592041418,-0.01862301905930508
-0.024550423404434696,-0.009651313121139538,-0.018565186110208742
-0.024567150830989704,-0.00949652985582361,-0.0182881503860699
-0.024160553948604502,-0.007706094947934616,-0.018364864445175044
-0.023604145098943263,-0.006051845502952347,-0.01808441083994694
-0.022992093363427557,-0.006231533461686922,-0.017632062736083753
-0.02265183866256848,-0.0063380339270224795,-0.01850783701229375
-0.022667411030852236,-0.005328571205609478,-0.020703950212919153
-0.022651927793049254,-0.003865581220452441,-0.023212489395518787
-0.023484559278585948,-0.0024439693788735894,-0.02330009374418296
-0.023958869860507548,0.0008019152346605551,-0.022111073121777736
-0.024330463929800317,0.0040709155655349605,-0.024572009351686575
-0.024494333047186956,0.004853016889683204,-0.02773422238533385
-0.024455646780552343,0.0040772238207864575,-0.029136082957847975
-0.025274082872783765,0.0030760588742850814,-0.029838258342351764
-0.024586210201960057,0.0025954450393328443,-0.030064373277127743
-0.023045757188810967,0.0029731488666584482,-0.03170978379785083
-0.02256769766972866,0.0030442320166912396,-0.03307446604594588
-0.022812739189248532,0.002057504389085807,-0.03249476867495105
-0.022817392164142802,-0.000319552526661937,-0.031806775950826705
-0.02180976116505917,-0.001503259682067437,-0.031504674552707
-0.021558545995503664,-0.00034167399576290336,-0.03210154682165012
-0.022296791939879768,-8.207469903709352e-05,-0.03290871609351598
-0.02406586099823471,-0.0013178489552956307,-0.033358832297381014
-0.024954901164164767,-0.0021228324840194546,-0.03246657797717489
-0.025682849809527397,-0.002859919050024473,-0.03055934575968422
-0.024781318643363193,-0.0043080985960841645,-0.02944198604382109
-0.02412764479231555,-0.006277006377786165,-0.030655512091470882
-0.02472646337992046,-0.009066598977369722,-0.03188502523698844
-0.02364963074796833,-0.010869028301385697,-0.029935059501440264
-0.02198731635871809,-0.010300926987838466,-0.027838510504807346
-0.022434933271142654,-0.009725258678372484,-0.027311483790981583
-0.022993979655439034,-0.010933841622318141,-0.02641016362758819
-0.02220422356913332,-0.012323161172389518,-0.024963888790807687
-0.0217616579902824,-0.01257960593648022,-0.023661754312342964
-0.022937350877327845,-0.01334068292635493,-0.022842094040242955
-0.023876313207438216,-0.013588752153737005,-0.022515807359013706
-0.024003707949304953,-0.013751384358329233,-0.023241913368110545
-0.023518281523138285,-0.013596221833722666,-0.022682677808916196
-0.024148293960024603,-0.012357146260910667,-0.021695756004191935
-0.02369064895901829,-0.010348020623496268,-0.022686941520078108
-0.023890645024948753,-0.009783784662431572,-0.0226945303438697
-0.024218610633397475,-0.009228958333551418,-0.021095787815283984
-0.0242213936871849,-0.009290166417486034,-0.020316463633207604
-0.023871993107604794,-0.009260396836907603,-0.019423932826612145
-0.0235002826229902,-0.00898657162906602,-0.0179936942004133
-0.023336579033639282,-0.00842851477500517,-0.016818061340018176
-0.023115018848329782,-0.006480782758444548,-0.015823399735381827
-0.02417683026578743,-0.0034162410429416923,-0.01531778798380401
-0.0259716125583509,-0.0006979061026868294,-0.017490934624220245
-0.02578891690063756,0.0019737919956241967,-0.021118128643138334
-0.023196376787382178,0.00451836058346089,-0.02212692743341904
-0.022325437385006808,0.005542194685403956,-0.021980691599310376
-0.023053011318552308,0.006879354259581305,-0.022429163436754607
-0.02386066989856772,0.00913788335310528,-0.024002631107578054
-0.023926344510982744,0.009343341844214592,-0.026763569621834904
-0.023768376195221208,0.00787037151894765,-0.02975821917061694
-0.024432685677311383,0.005839429377374472,-0.03060192830162123
-0.02569932803453412,0.006095453045418253,-0.03014888716279529
-0.026523250198806636,0.008082756721705664,-0.029106216970831156
-0.025699924663058482,0.0079071787695284,-0.02756473077170085
-0.024337146896868944,0.00520857338415226,-0.027477770345285535
-0.02474775828886777,0.0024616003884148085,-0.029421316867228597
-0.025690160327940248,-0.0002002511081400371,-0.03196380930603482
-0.02570276592450682,-0.0032003658816393,-0.03209188798791729
-0.026321709810872562,-0.005140627308719559,-0.03109813405899331
-0.025652178010204807,-0.004720693141280208,-0.03108072269242257
-0.02474358188919723,-0.0055148325373011176,-0.03210103386663832
-0.025285726223955862,-0.0083304985309951,-0.03195578756276518
-0.02500799746485427,-0.009481675078859553,-0.0292767053906573
-0.02512252285669092,-0.009008551387523767,-0.026126437660423107
-0.02561563451308757,-0.008493399946019053,-0.02400704579486046
-0.02569619391579181,-0.008954802979133092,-0.02332918120373506
-0.024415156076429412,-0.011054149581468664,-0.023357690224656835
-0.022720156266586855,-0.013095336726109963,-0.023069318558555096
-0.02109514935000334,-0.01218526995216962,-0.022717700630892068
-0.020385188690852374,-0.009626978680898901,-0.021741461750934832
-0.021448398911161348,-0.009204938578477595,-0.019923729269066826
-0.023669081201660447,-0.01078129844245268,-0.018389457181910984
-0.02316913378308527,-0.01091423928301083,-0.018301527234143578
-0.022371013983502053,-0.0090054909378523,-0.018958276996272616
-0.02324309025425464,-0.008124951818899717,-0.0192975603567902
-0.02463176497258246,-0.00740716723157675,-0.02172844142478425
-0.02436267641314771,-0.006385523647622904,-0.024140503228409216
-0.023874219550634734,-0.0047118423935899045,-0.025264684154535644
-0.023522881747339852,-0.004303934474592097,-0.026322897610953078
-0.02323982880625408,-0.004522812105278717,-0.026331959816161543
-0.023563912691315636,-0.0024111925540637458,-0.024837157980073243
-0.024722172383917496,0.0006083998300709936,-0.023880298613221385
-0.025306946554337628,0.0027522323762241285,-0.025454728529439308
-0.024931247025961056,0.004006316885352135,-0.027508782295626588
-0.024548555302317254,0.005090400009066798,-0.027428037356003188
-0.023374115698970854,0.005686799340764992,-0.027025103918276727
-0.023331651391345076,0.006079690137994476,-0.026688085199566558
-0.023349026378127746,0.006990153906372143,-0.026452657039044425
-0.023158418116508983,0.00636577169643715,-0.027553021936910227
-0.021917321646469645,0.005276229330775095,-0.028269416361581534
-0.022987245756667107,0.004258075477991952,-0.028041875339113176
-0.02394448711129371,0.002803764118652907,-0.02767930163827259
-0.0243323029280873,0.0007915157311799703,-0.025512992579024285
-0.02341529034310952,-0.00019071502777023852,-0.023098542442312464
-0.02223208502982743,-0.0006466357262979727,-0.023301650799112394
-0.022464624635176733,-0.001785629706319014,-0.02542182664910797
-0.02239489731437061,-0.0019189296835975256,-0.02801822301989887
-0.022043112039682455,-0.0012790654864147655,-0.029095794161548838
-0.023221569790621288,-0.002563727775850566,-0.029061047825962305
-0.024677910914761014,-0.004032345259474823,-0.028191509045427665
-0.024713106540730223,-0.006649489478149917,-0.026422749215271324
