Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
74.000000,13752.603680,11710.213031,-25219.294455,-9808.571316,-13564.267881,12428.575746,-21595.249664,-24873.960003,12546.660012,14583.775650,-1632.660822,3346.838456,1298.055207,19063.176997,-20936.230831,-9991.676806,-0.004000,-0.010000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770370339.592764,101.000000
76.000000,13766.551169,11726.149824,-25206.062222,-9790.488755,-13541.334992,12460.091705,-21576.116571,-24852.882308,12554.505474,14599.935961,-1622.803703,3361.501200,1311.063923,19083.114753,-20936.431996,-9984.390138,-0.004000,-0.010000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770370339.592829,0.000000
78.000000,13767.221721,11719.936039,-25207.939769,-9797.082519,-13529.555622,12459.823484,-21582.218597,-24857.240898,12573.035070,14609.837784,-1609.102083,3372.989997,1323.960879,19099.140954,-20922.059825,-9973.169562,-0.004000,-0.010000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770370339.592886,0.000000
80.000000,13774.709555,11729.927269,-25197.255635,-9792.656874,-13534.674172,12462.840970,-21577.927062,-24847.272020,12571.626910,14602.081728,-1611.896051,3364.384575,1321.882167,19106.561733,-20929.860584,-9985.708891,-0.004000,-0.010000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770370339.592942,0.000000
82.000000,13785.550152,11741.192548,-25184.112809,-9788.320635,-13523.855927,12462.908025,-21567.935832,-24836.409072,12589.798878,14624.947563,-1595.154595,3385.551677,1331.940452,19117.379977,-20909.788717,-9978.623388,-0.002000,-0.012000,1.004000,192.000000,127.500000,120.000000,127.500000,80.000000,15.500000,48.000000,0.000000,0.000000,0.000000,1770370339.592997,0.000000
84.000000,13769.300433,11724.719313,-25198.015594,-9789.639388,-13540.887957,12443.014973,-21582.017431,-24852.636439,12578.913579,14616.230382,-1602.128339,3370.240732,1340.769391,19098.045718,-20918.081214,-9998.941123,-0.002000,-0.012000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770370339.593021,0.000000
86.000000,13772.899064,11730.307249,-25185.945652,-9784.632598,-13541.156178,12429.626278,-21570.416876,-24842.019360,12577.594826,14609.904839,-1604.341162,3369.369014,1335.181455,19099.051547,-20920.495203,-10009.737016,-0.002000,-0.012000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770370339.593044,0.000000
88.000000,13760.359736,11720.651295,-25199.915493,-9792.634522,-13535.814111,12417.601039,-21582.129190,-24854.715151,12583.406279,14614.062263,-1599.401426,3381.796584,1323.379734,19108.551038,-20912.605037,-10008.887650,-0.002000,-0.012000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770370339.593068,0.000000
90.000000,13747.887462,11709.788347,-25206.978644,-9796.948409,-13563.642033,12415.365865,-21585.571359,-24864.773436,12559.624023,14604.853345,-1618.445113,3362.059994,1310.371019,19087.473343,-20929.860584,-10023.483339,-0.002000,-0.012000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770370339.593090,0.000000
92.000000,13747.865110,11709.073092,-25204.810525,-9796.859002,-13575.644919,12410.582591,-21581.525693,-24862.135930,12559.467561,14600.897086,-1618.288650,3364.496334,1316.763618,19091.809582,-20918.081214,-10010.474623,-0.004000,-0.008000,1.002000,192.000000,127.500000,112.000000,127.500000,96.000000,15.500000,40.000000,0.000000,0.000000,0.000000,1770370339.593113,0.000000
