Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
90.000000,19215.906467,16127.297715,-3703.996981,-17651.172596,-16737.723856,-1560.241170,-19286.046241,-9664.983709,11394.941675,-9516.389312,-459.909494,8091.867935,20058.187253,21982.180712,4540.175741,2847.455781,0.006000,-0.010000,1.000000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770802664.378684,101.000000
92.000000,19209.089185,16120.793357,-3711.753036,-17656.112332,-16749.927908,-1568.153687,-19293.019985,-9671.890398,11400.440204,-9491.712986,-448.241883,8108.430577,20074.705192,21998.005748,4539.125209,2840.683203,0.006000,-0.010000,1.000000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770802664.378743,0.000000
94.000000,19205.088223,16119.496956,-3713.161196,-17660.895605,-16751.358420,-1573.138127,-19296.976244,-9671.957454,11391.074823,-9519.563260,-466.637369,8082.502554,20053.582794,21974.089381,4534.386639,2841.778438,0.008000,-0.014000,0.998000,192.000000,0.000000,32.000000,127.500000,72.000000,15.500000,24.000000,0.000000,0.000000,0.000000,1770802664.378784,0.000000
96.000000,19218.275752,16135.724322,-3707.863832,-17646.970468,-16736.248641,-1563.839801,-19283.051107,-9661.921520,11402.787137,-9502.352417,-449.270064,8104.474319,20065.540977,21988.103925,4539.080505,2839.699726,0.008000,-0.014000,0.998000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770802664.378825,0.000000
98.000000,19201.690757,16116.054787,-3718.704429,-17661.744971,-16756.186397,-1576.960275,-19303.502953,-9678.104183,11395.545172,-9502.888859,-459.998901,8094.527792,20059.796579,21988.930939,4537.828808,2843.678337,0.008000,-0.014000,0.998000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770802664.378867,0.000000
100.000000,19216.599371,16132.639782,-3712.088312,-17647.015172,-16741.121321,-1548.618263,-19289.309596,-9666.525980,11403.144765,-9507.180394,-459.082479,8096.561801,20058.991916,21980.437276,4543.595558,2849.556845,0.008000,-0.014000,0.998000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770802664.378913,0.000000
102.000000,19209.625627,16124.950781,-3721.140769,-17656.559367,-16748.989135,-1563.884504,-19299.256122,-9674.550256,11400.015521,-9493.344664,-457.182581,8103.826118,20073.118219,21993.289529,4540.578072,2848.908645,0.008000,-0.014000,0.998000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770802664.378936,0.000000
104.000000,19208.128060,16120.793357,-3717.720952,-17661.767323,-16751.693696,-1569.561847,-19302.005387,-9673.589131,11402.295399,-9510.510804,-465.273913,8084.693025,20058.030791,21980.481980,4540.175741,2847.500485,0.010000,-0.014000,1.002000,192.000000,0.000000,40.000000,127.500000,72.000000,15.500000,40.000000,0.000000,0.000000,0.000000,1770802664.378947,0.000000
106.000000,19223.863688,16134.539680,-3707.729722,-17646.925765,-16728.447882,-1555.904932,-19281.955872,-9661.161561,11408.665646,-9497.278571,-448.465401,8107.469452,20070.614823,21989.936768,4544.511979,2844.706517,0.010000,-0.014000,1.002000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770802664.378958,0.000000
108.000000,19205.624665,16109.952761,-3720.336106,-17664.494236,-16756.789894,-1572.780499,-19305.983997,-9679.065308,11400.686073,-9503.268838,-460.848267,8092.784356,20064.624556,21983.611224,4536.554758,2840.414982,0.010000,-0.014000,1.002000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770802664.378970,0.000000
110.000000,19221.449700,16125.710741,-3710.836614,-17648.177463,-16738.170891,-1552.283949,-19288.504933,-9665.989538,11410.923172,-9507.672132,-457.160229,8096.740615,20059.528358,21981.040774,4542.142694,2843.432467,0.010000,-0.014000,1.002000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770802664.378980,0.000000
112.000000,19208.262170,16116.233601,-3723.264184,-17656.715829,-16749.033838,-1568.086632,-19297.535038,-9673.589131,11404.038835,-9490.930675,-455.707366,8110.799862,20061.674125,21992.283701,4540.108686,2846.449953,0.010000,-0.014000,1.002000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770802664.378991,0.000000
114.000000,19203.925932,16112.322046,-3722.526577,-17663.331945,-16750.643164,-1581.900010,-19302.854753,-9675.578436,11390.672492,-9516.434016,-474.952218,8088.090490,20036.282544,21970.133122,4534.006659,2843.164246,0.008000,-0.014000,1.006000,192.000000,0.000000,24.000000,127.500000,72.000000,15.500000,72.000000,0.000000,0.000000,0.000000,1770802664.379002,0.000000
116.000000,19222.254362,16132.282154,-3711.306001,-17643.461245,-16731.465367,-1554.586179,-19282.872293,-9663.195570,11408.285666,-9493.411719,-456.489677,8113.191499,20056.242651,21987.254558,4543.394392,2840.012650,0.008000,-0.014000,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770802664.379013,0.000000
118.000000,19194.672310,16098.978054,-3725.856987,-17669.858655,-16757.259280,-1567.572542,-19307.973302,-9687.424861,11396.461594,-9508.365036,-475.063977,8090.727996,20047.413712,21983.298300,4537.381773,2838.515084,0.008000,-0.014000,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770802664.379024,0.000000
120.000000,19211.436118,16117.909982,-3711.998905,-17651.753742,-16736.315696,-1556.731946,-19289.063727,-9673.879704,11401.826012,-9515.651705,-471.755918,8093.186688,20043.368047,21979.900835,4541.807418,2838.358621,0.008000,-0.014000,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770802664.379035,0.000000
122.000000,19201.847220,16109.461023,-3718.659725,-17660.850902,-16743.736475,-1561.694033,-19296.082174,-9682.507477,11399.590838,-9496.876239,-467.799660,8104.586077,20056.108541,21993.267178,4539.125209,2835.832874,0.008000,-0.014000,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770802664.379069,0.000000
124.000000,19191.319548,16098.799240,-3718.324449,-17670.395097,-16755.202920,-1579.798946,-19302.363015,-9687.201343,11390.583085,-9528.593365,-482.976494,8075.394699,20036.371951,21970.557805,4539.594595,2835.497598,0.008000,-0.013000,1.007000,192.000000,0.000000,32.000000,127.500000,80.000000,15.500000,64.000000,0.000000,0.000000,0.000000,1770802664.379080,0.000000
