Sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel
90.000000,22821.309903,22402.393508,3916.763236,1700.476015,24802.724994,-8983.814297,9687.648378,-3063.619502,16495.118021,15144.670325,-5774.215552,10726.445702,13801.084614,22714.602675,-4542.679136,16326.764682,0.004000,-0.006000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.471874,101.000000
92.000000,22827.099005,22409.367253,3914.595117,1694.619858,24821.075776,-8992.866754,9688.028358,-3067.218133,16584.167371,15163.848122,-5787.760709,10718.332019,13814.495661,22723.386910,-4545.584863,16361.879273,0.004000,-0.006000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.471951,0.000000
94.000000,22827.613095,22398.437249,3930.353097,1708.321477,24808.134116,-8982.517896,9697.594905,-3050.387269,16537.854557,15162.328203,-5769.968721,10733.374743,13826.699713,22717.933085,-4539.929872,16326.876441,0.004000,-0.006000,1.004000,192.000000,0.000000,0.000000,127.500000,88.000000,15.500000,64.000000,0.000000,0.000000,0.000000,1770902965.472007,0.000000
96.000000,22845.092159,22431.674293,3921.501806,1699.805462,24827.557782,-8991.011559,9694.957399,-3052.130705,16533.719484,15161.188264,-5767.487677,10737.956850,13819.658914,22718.491878,-4542.120343,16331.905583,0.004000,-0.006000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472060,0.000000
98.000000,22841.694694,22412.183572,3933.415286,1713.931765,24829.323569,-8975.432393,9698.466623,-3043.882912,16608.284904,15180.343709,-5767.085346,10737.308650,13849.163216,22741.692989,-4540.086334,16354.145569,0.004000,-0.006000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472118,0.000000
100.000000,22839.101891,22418.084433,3925.033382,1710.422541,24826.440194,-8978.248713,9694.644474,-3051.840133,16516.285123,15167.334994,-5757.429392,10746.964603,13822.788158,22720.414128,-4537.024145,16319.679179,0.004000,-0.006000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472176,0.000000
102.000000,22838.945429,22419.067910,3923.021725,1699.492538,24841.371160,-8977.600512,9689.682387,-3064.625331,16594.851505,15177.885017,-5777.501259,10731.161920,13833.964030,22734.495727,-4539.192264,16364.583834,0.004000,-0.006000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472197,0.000000
104.000000,22823.120394,22391.977595,3926.039210,1713.194157,24818.505325,-8967.743393,9690.799974,-3062.211342,16549.723333,15161.188264,-5767.934712,10730.290202,13828.331390,22733.288733,-4534.051363,16340.555708,0.004000,-0.006000,1.004000,192.000000,0.000000,0.000000,127.500000,88.000000,15.500000,64.000000,0.000000,0.000000,0.000000,1770902965.472214,0.000000
106.000000,22824.237981,22410.238971,3909.096588,1698.129082,24822.394529,-8975.857076,9685.189686,-3075.510630,16520.420196,15150.414723,-5780.697558,10724.366990,13810.807623,22720.436480,-4545.294290,16352.200967,0.004000,-0.006000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472233,0.000000
108.000000,22818.247714,22389.094220,3916.874995,1709.483768,24814.459659,-8957.819218,9687.782489,-3065.809973,16587.117802,15160.875340,-5788.453613,10720.567193,13828.867832,22726.739672,-4551.016337,16380.163000,0.004000,-0.006000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472250,0.000000
110.000000,22816.571333,22397.766697,3912.784626,1704.946364,24814.146735,-8958.735640,9686.396681,-3070.146211,16493.151068,15138.523595,-5775.042567,10727.406827,13811.321713,22715.161468,-4548.468238,16347.015363,0.004000,-0.006000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472268,0.000000
112.000000,22829.825917,22413.479973,3914.349248,1699.023151,24838.174860,-8962.468381,9686.240218,-3071.643778,16581.373403,15159.757752,-5790.442919,10720.254269,13833.584050,22735.479204,-4546.143657,16387.516724,0.004000,-0.006000,1.004000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472287,0.000000
114.000000,22821.667531,22395.240950,3927.804998,1710.467244,24823.065081,-8959.339137,9693.862163,-3059.797354,16542.459016,15154.885072,-5771.779212,10724.657562,13835.036914,22725.353864,-4538.611119,16351.575118,0.003000,-0.007000,1.006000,192.000000,0.000000,8.000000,127.500000,96.000000,15.500000,64.000000,0.000000,0.000000,0.000000,1770902965.472306,0.000000
116.000000,22838.856022,22420.699587,3920.451274,1691.244744,24830.709378,-8981.646178,9692.901038,-3064.044185,16532.579545,15146.056133,-5771.935674,10726.512757,13814.808585,22715.876724,-4543.260281,16346.300107,0.003000,-0.007000,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472325,0.000000
118.000000,22835.078577,22405.142773,3929.682544,1707.360352,24825.859049,-8979.254541,9697.639608,-3053.628272,16601.177049,15171.179494,-5771.421584,10725.551632,13835.796873,22730.785338,-4546.568340,16356.805427,0.003000,-0.007000,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472343,0.000000
120.000000,22842.611115,22422.152450,3925.212196,1706.242765,24815.845468,-8986.876486,9698.868954,-3050.700194,16507.210315,15154.125113,-5758.770497,10738.873272,13826.409140,22713.708605,-4547.037726,16317.779281,0.003000,-0.007000,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472371,0.000000
122.000000,22844.689828,22429.930857,3922.306469,1698.821986,24846.489709,-8986.250637,9695.873820,-3054.231769,16595.678520,15176.499209,-5773.612055,10737.912147,13833.248774,22727.566687,-4549.228197,16362.907453,0.003000,-0.007000,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472390,0.000000
124.000000,22838.811319,22412.384738,3930.062524,1717.977431,24829.770604,-8978.807506,9698.734844,-3041.267758,16550.840920,15172.140619,-5757.943482,10747.881025,13830.343047,22731.344131,-4541.583901,16333.291392,0.004500,-0.010500,1.006000,192.000000,0.000000,24.000000,127.500000,72.000000,15.500000,56.000000,0.000000,0.000000,0.000000,1770902965.472408,0.000000
126.000000,22837.693732,22426.913372,3913.812806,1697.056198,24837.884288,-8997.493565,9690.732919,-3058.813877,16540.447359,15155.555624,-5764.336081,10740.750818,13815.590896,22722.559896,-4548.423534,16339.840453,0.004500,-0.010500,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472427,0.000000
128.000000,22827.546040,22402.102936,3916.874995,1705.974544,24832.721035,-8990.385710,9689.481221,-3060.914941,16598.025453,15172.565302,-5778.127107,10731.117216,13827.951411,22733.914582,-4553.162104,16365.612014,0.004500,-0.010500,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472444,0.000000
130.000000,22816.236057,22400.203037,3909.677733,1699.470186,24813.230313,-8996.890068,9686.799012,-3072.783717,16495.922684,15145.519691,-5776.696596,10730.245498,13805.912591,22725.197402,-4557.051308,16328.195194,0.004500,-0.010500,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472461,0.000000
132.000000,22817.107775,22404.405165,3899.753559,1696.989143,24825.523773,-8994.833707,9683.669768,-3082.305560,16567.112990,15153.253395,-5796.947276,10718.801405,13798.447108,22703.247989,-4569.925913,16375.558540,0.004500,-0.010500,1.006000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472480,0.000000
134.000000,22802.445031,22378.745363,3917.679658,1702.465320,24822.796860,-8974.739489,9687.089585,-3077.566991,16520.308437,15147.531348,-5789.124166,10718.041446,13802.403367,22716.144945,-4559.755869,16351.776284,0.006250,-0.010250,1.008000,192.000000,0.000000,32.000000,127.500000,88.000000,15.500000,72.000000,0.000000,0.000000,0.000000,1770902965.472498,0.000000
136.000000,22820.013502,22412.585904,3909.320105,1695.692741,24844.522756,-8973.174867,9685.346149,-3080.316255,16508.551420,15140.378790,-5789.526497,10716.096844,13802.805698,22714.021529,-4553.385622,16361.566348,0.006250,-0.010250,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472516,0.000000
138.000000,22827.993074,22405.790973,3928.341440,1709.304954,24856.145663,-8944.318765,9693.124556,-3060.669072,16588.637720,15172.162971,-5781.591628,10727.071551,13840.334277,22729.176012,-4552.066869,16386.533247,0.006250,-0.010250,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472535,0.000000
140.000000,22839.750092,22423.851183,3932.029478,1705.125178,24857.307954,-8948.431486,9696.097338,-3052.845961,16511.390091,15157.500226,-5758.211703,10740.259080,13841.273050,22732.908754,-4541.159217,16346.680086,0.006250,-0.010250,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472553,0.000000
142.000000,22849.853080,22437.865727,3928.699068,1701.973582,24873.825893,-8956.612224,9695.918524,-3055.528171,16602.406395,15176.096878,-5765.185447,10737.778036,13852.739495,22732.215849,-4538.767581,16380.811200,0.006250,-0.010250,1.008000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472572,0.000000
144.000000,22845.360380,22416.139831,3938.444428,1713.328268,24855.922145,-8951.404268,9699.606562,-3046.766287,16561.368592,15179.092011,-5754.993052,10744.796484,13859.310908,22749.247879,-4537.068848,16347.775322,0.005125,-0.008125,1.009000,192.000000,0.000000,16.000000,127.500000,104.000000,15.500000,72.000000,0.000000,0.000000,0.000000,1770902965.472591,0.000000
146.000000,22856.312735,22441.307895,3920.451274,1705.169881,24854.536337,-8968.883332,9694.644474,-3057.897455,16536.155824,15168.497284,-5761.318596,10741.354315,13829.828957,22726.225582,-4547.082430,16354.011459,0.005125,-0.008125,1.009000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472610,0.000000
148.000000,22847.148519,22420.654883,3925.905100,1718.647983,24835.649113,-8960.523779,9698.131346,-3052.734202,16597.913694,15193.911218,-5767.912360,10741.510778,13849.811417,22749.806672,-4557.364232,16376.184389,0.005125,-0.008125,1.009000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472628,0.000000
150.000000,22842.164080,22422.286561,3918.216100,1712.858881,24817.946532,-8974.672434,9695.896172,-3055.215246,16502.672911,15168.497284,-5757.876427,10749.445647,13817.848422,22731.075910,-4562.371023,16339.460473,0.005125,-0.008125,1.009000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472646,0.000000
152.000000,22840.800624,22422.957113,3909.297753,1702.979410,24825.791994,-8985.311864,9690.218829,-3065.519400,16584.167371,15178.399107,-5775.802526,10733.978240,13826.766768,22734.898059,-4573.435136,16378.687785,0.005125,-0.008125,1.009000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472665,0.000000
154.000000,22823.701539,22394.302177,3916.204443,1708.053256,24811.531581,-8977.086422,9691.157602,-3065.854676,16538.994496,15160.249491,-5771.421584,10735.118179,13816.350855,22728.393701,-4566.349633,16350.099903,0.004563,-0.011062,1.006500,192.000000,0.000000,16.000000,127.500000,72.000000,15.500000,48.000000,0.000000,0.000000,0.000000,1770902965.472683,0.000000
156.000000,22831.077615,22414.955189,3898.479509,1693.681084,24819.064119,-8994.856059,9686.396681,-3081.120918,16515.882792,15149.990040,-5786.441956,10727.049199,13804.258562,22714.468564,-4568.204828,16354.525549,0.004563,-0.011062,1.006500,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472702,0.000000
158.000000,22818.828859,22390.815305,3912.695219,1700.319552,24824.942628,-8987.927018,9689.078890,-3076.158831,16581.552217,15156.874377,-5793.013369,10720.455434,13815.702655,22711.562838,-4568.853029,16371.646985,0.004563,-0.011062,1.006500,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472721,0.000000
160.000000,22816.884257,22399.353671,3912.918736,1698.486709,24826.239029,-8982.964931,9691.626989,-3071.889647,16485.305606,15134.097950,-5777.858886,10724.523452,13791.920399,22709.439422,-4560.091145,16331.704418,0.004563,-0.011062,1.006500,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472739,0.000000
162.000000,22826.629618,22416.296293,3914.058675,1695.446872,24845.036846,-8970.850285,9691.336416,-3068.559238,16569.616386,15160.808284,-5786.643122,10721.930650,13813.243963,22714.133288,-4561.499305,16375.580892,0.004563,-0.011062,1.006500,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472757,0.000000
164.000000,22830.317656,22407.422651,3926.955632,1721.307841,24835.984389,-8950.331384,9699.964190,-3051.124877,16539.262717,15168.921968,-5765.856000,10739.834397,13830.231289,22732.975809,-4556.201942,16348.982316,0.004563,-0.011062,1.006500,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472776,0.000000
166.000000,22851.261240,22448.348695,3917.791416,1711.003686,24851.340038,-8960.188503,9698.488974,-3052.175409,16535.261754,15169.793686,-5763.419660,10746.942252,13829.918364,22745.828062,-4559.755869,16353.475017,-0.002000,-0.016000,0.996000,192.000000,127.500000,120.000000,127.500000,64.000000,15.500000,16.000000,0.000000,0.000000,0.000000,1770902965.472794,0.000000
168.000000,22852.512938,22433.976523,3933.504693,1720.749047,24858.917279,-8954.891140,9703.473413,-3045.112258,16607.122613,15199.834430,-5762.033851,10750.004441,13856.941623,22741.469472,-4558.459468,16372.853979,-0.002000,-0.016000,0.996000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472813,0.000000
170.000000,22850.389522,22437.038712,3928.855530,1717.508044,24857.285602,-8963.228341,9702.534640,-3050.230807,16519.660237,15181.394241,-5747.907549,10755.122990,13831.259469,22741.000085,-4550.636357,16331.525604,-0.002000,-0.016000,0.996000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472831,0.000000
172.000000,22851.216537,22443.587773,3921.121826,1709.260250,24869.377896,-8968.078669,9698.891306,-3056.936330,16599.455965,15197.398090,-5767.062994,10748.015135,13851.890129,22743.458777,-4559.174724,16377.704308,-0.002000,-0.016000,0.996000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472850,0.000000
174.000000,22833.759824,22411.356558,3929.101399,1717.865672,24844.679218,-8963.809486,9700.031245,-3050.320214,16547.711676,15182.668290,-5757.272930,10748.953909,13844.201129,22745.537489,-4558.638282,16353.497369,-0.002000,-0.016000,0.996000,192.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1770902965.472870,0.000000
176.000000,22834.586839,22422.197154,3910.840024,1695.536279,24847.048503,-8988.910495,9692.901038,-3065.429993,16525.806967,15164.317508,-5767.711194,10735.319344,13828.510204,22722.626951,-4563.019224,16358.437104,-0.002000,-0.016000,0.996000,192.000000,0.000000,0.000000,127.500000,80.000000,15.500000,24.000000,0.000000,0.000000,0.000000,1770902965.472888,0.000000
